,effective_to_date,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount
4342,2011-02-23,0,190,21,35,1,7,1654.202174
4343,2011-01-05,30027,65,13,10,0,1,312.0
4344,2011-01-29,23156,88,9,6,2,1,422.4
4345,2011-02-24,0,93,7,85,0,4,669.6
4346,2011-01-16,23222,90,10,66,0,4,252.938842
4347,2011-02-02,0,65,16,90,0,1,468.0
4348,2011-01-04,27317,102,30,12,0,2,489.6
4349,2011-01-27,21073,106,25,54,1,3,508.8
4350,2011-02-25,0,225,26,53,0,2,1620.0
4351,2011-01-23,69268,93,31,20,0,2,19.170855
4352,2011-02-01,74561,68,0,23,1,5,234.393625
4353,2011-01-02,72421,65,8,23,0,1,312.0
4354,2011-01-12,0,71,4,18,0,1,17.029835
4355,2011-02-15,57961,72,27,64,0,2,38.513959
4356,2011-02-22,35205,76,7,11,0,1,178.839506
4357,2011-02-28,0,74,19,41,0,8,59.026302
4358,2011-02-18,72309,68,3,51,0,2,244.727144
4359,2011-02-07,76352,109,17,9,2,4,501.83778
4360,2011-01-08,0,100,30,4,2,2,720.0
4361,2011-01-28,29057,102,22,24,0,3,489.6
4362,2011-01-24,0,66,11,73,0,1,501.153571
4363,2011-02-09,25595,101,5,86,0,9,484.8
4364,2011-01-27,58058,67,28,49,0,2,355.198918
4365,2011-02-24,22828,106,11,54,0,2,508.8
4366,2011-02-28,0,81,8,47,0,8,390.161912
4367,2011-01-12,23815,73,4,47,0,2,424.330166
4368,2011-02-06,45329,65,13,7,3,4,312.0
4369,2011-01-07,59349,119,15,41,0,2,222.032326
4370,2011-02-22,19794,105,1,78,0,1,504.0
4371,2011-01-30,92401,64,30,37,0,1,50.359627
4372,2011-02-20,0,109,10,20,0,6,898.430079
4373,2011-02-10,83000,97,29,76,1,6,378.5566
4374,2011-02-04,77693,65,30,15,0,7,225.045919
4375,2011-01-25,62902,69,14,94,0,2,159.383042
4376,2011-01-27,0,70,5,70,2,1,449.601961
4377,2011-01-30,43386,111,17,35,0,1,413.002348
4378,2011-01-30,29120,72,31,77,0,3,345.6
4379,2011-01-01,48893,110,9,26,0,3,787.88953
4380,2011-01-20,92931,146,6,38,0,7,503.144025
4381,2011-02-17,15462,115,34,18,0,1,611.941558
4382,2011-02-01,0,62,1,64,0,3,446.4
4383,2011-02-08,70088,112,0,33,0,1,536.481665
4384,2011-01-16,25558,63,31,11,0,1,453.6
4385,2011-01-02,0,112,12,93,0,3,537.6
4386,2011-01-09,0,134,24,51,0,3,643.2
4387,2011-01-19,36328,155,6,21,0,4,388.148089
4388,2011-01-29,32948,127,20,46,1,2,1428.972913
4389,2011-02-05,69114,103,9,68,0,4,162.199584
4390,2011-01-10,45302,133,4,34,0,2,638.4
4391,2011-02-20,0,88,28,23,0,4,110.527627
4392,2011-02-10,53173,112,30,57,0,4,1169.409787
4393,2011-02-27,23904,123,1,67,3,1,590.4
4394,2011-02-28,63774,111,18,63,0,1,60.036683
4395,2011-01-01,67544,116,2,15,0,3,556.8
4396,2011-02-21,26691,65,7,51,0,1,312.0
4397,2011-02-15,0,62,3,44,0,2,297.6
4398,2011-02-12,58089,118,31,83,0,1,566.4
4399,2011-02-11,0,136,30,75,0,2,652.8
4400,2011-02-21,99583,64,35,85,0,2,99.674341
4401,2011-02-18,0,68,28,65,0,1,271.489602
4402,2011-02-26,24410,73,5,51,0,2,350.4
4403,2011-01-15,68956,118,12,8,2,2,118.538444
4404,2011-02-23,0,73,29,82,0,1,298.671049
4405,2011-01-29,20588,113,6,86,0,7,586.390393
4406,2011-01-17,37840,90,31,9,0,4,432.0
4407,2011-02-15,43440,74,13,52,0,7,128.21198
4408,2011-01-10,83195,73,18,36,1,1,332.693627
4409,2011-02-03,0,70,18,74,0,3,336.0
4410,2011-02-25,43209,110,12,16,0,1,528.0
4411,2011-01-07,37308,115,2,51,0,1,552.0
4412,2011-02-26,22239,62,34,85,0,1,297.6
4413,2011-01-18,66106,95,10,25,1,4,250.323257
4414,2011-01-19,97065,117,10,0,0,1,561.6
4415,2011-01-06,24910,69,12,79,0,3,746.107437
4416,2011-01-07,49414,68,8,82,5,6,159.631303
4417,2011-02-08,61148,132,28,25,0,2,98.206649
4418,2011-02-05,52494,119,5,69,0,7,571.2
4419,2011-01-08,20538,104,25,64,0,7,499.2
4420,2011-01-25,0,89,35,22,0,2,538.689882
4421,2011-01-31,73716,103,2,91,0,2,162.662641
4422,2011-02-27,26790,71,4,41,0,1,340.8
4423,2011-02-13,0,65,31,52,0,1,468.0
4424,2011-01-16,53252,117,1,76,0,1,561.6
4425,2011-01-18,24164,137,2,40,0,5,657.6
4426,2011-01-14,20090,109,10,59,0,2,523.2
4427,2011-01-30,81721,63,11,5,0,1,133.90029
4428,2011-01-15,18495,113,10,15,0,2,542.4
4429,2011-01-11,42314,80,23,78,0,3,56.39419
4430,2011-02-09,89892,135,9,6,0,9,526.248798
4431,2011-01-29,0,92,33,41,1,1,662.4
4432,2011-01-20,0,117,18,84,4,8,91.055318
4433,2011-01-06,21576,65,27,16,0,3,312.0
4434,2011-01-20,10312,78,10,63,0,1,486.278557
4435,2011-02-28,50632,62,26,42,0,1,54.961039
4436,2011-02-04,0,139,5,29,0,1,1000.8
4437,2011-01-26,97917,67,14,32,5,3,279.184512
4438,2011-01-05,28280,116,7,55,0,9,556.8
4439,2011-02-15,86195,139,12,10,0,3,601.667902
4440,2011-01-25,89797,106,19,8,0,1,70.958361
4441,2011-01-23,0,63,16,5,0,5,302.4
4442,2011-02-04,0,192,1,27,0,1,1921.248929
4443,2011-02-11,33635,240,1,23,0,2,1152.0
4444,2011-01-31,29790,194,25,49,0,3,931.2
4445,2011-01-09,44656,70,2,80,0,2,336.0
4446,2011-01-14,40870,105,3,56,0,2,504.0
4447,2011-02-13,0,117,8,64,0,1,94.94292
4448,2011-02-03,28363,133,0,35,0,3,638.4
4449,2011-02-28,94508,88,27,54,0,3,491.384479
4450,2011-01-03,0,64,24,73,0,2,324.695555
4451,2011-02-02,0,124,13,1,0,2,696.034509
4452,2011-02-04,0,77,10,36,1,2,554.4
4453,2011-01-22,0,116,10,99,0,3,835.2
4454,2011-01-21,18017,114,23,54,0,9,547.2
4455,2011-02-28,0,117,15,68,0,2,930.594707
4456,2011-01-17,63741,91,25,15,0,6,36.980596
4457,2011-01-18,57078,113,26,13,1,8,542.4
4458,2011-02-28,0,67,21,28,0,1,458.661381
4459,2011-01-31,25239,100,30,59,0,7,150.96491
4460,2011-01-17,29227,74,0,83,0,7,421.19002
4461,2011-01-28,60021,99,12,28,0,1,882.871945
4462,2011-02-25,0,73,23,59,0,1,780.57363
4463,2011-02-22,83208,68,10,93,0,4,325.866271
4464,2011-02-10,25983,90,32,43,0,2,432.0
4465,2011-02-12,25965,65,23,27,0,1,329.206567
4466,2011-01-11,22679,72,25,32,0,4,345.6
4467,2011-02-12,41186,70,15,29,4,3,242.320409
4468,2011-01-22,0,67,7,4,0,2,445.702958
4469,2011-01-31,29070,61,8,99,2,3,292.8
4470,2011-01-31,0,63,13,49,0,7,302.4
4471,2011-02-04,33485,63,6,41,0,1,343.705799
4472,2011-01-17,58206,64,2,56,0,3,454.188803
4473,2011-02-26,87492,62,15,69,0,1,264.461805
4474,2011-02-20,0,98,29,37,0,1,705.6
4475,2011-01-18,20757,102,6,74,3,9,216.4268
4476,2011-02-05,23449,61,33,2,0,8,292.8
4477,2011-02-05,0,192,35,34,0,2,921.6
4478,2011-02-10,60455,104,20,25,0,2,499.2
4479,2011-02-09,0,89,12,73,4,1,640.8
4480,2011-01-15,53588,77,10,71,0,1,369.6
4481,2011-01-14,40870,105,3,56,0,2,504.0
4482,2011-01-08,0,71,11,68,0,1,340.8
4483,2011-02-01,0,129,2,69,0,2,1267.549091
4484,2011-01-17,45128,72,13,34,0,1,66.667784
4485,2011-02-18,90874,137,18,28,4,3,459.785009
4486,2011-01-09,52823,95,7,15,0,5,125.768818
4487,2011-01-09,26784,67,14,82,0,8,482.4
4488,2011-02-13,22354,118,27,9,0,2,775.526054
4489,2011-01-05,54420,80,27,0,0,1,576.0
4490,2011-02-09,50800,112,1,45,0,2,621.218119
4491,2011-02-24,0,87,12,12,1,2,417.6
4492,2011-02-12,84583,65,6,50,0,2,238.868659
4493,2011-01-01,33701,88,14,22,3,1,460.815578
4494,2011-01-22,0,63,21,27,0,4,462.63613
4495,2011-02-22,68931,66,32,30,0,7,309.577946
4496,2011-02-19,0,105,1,37,0,4,504.0
4497,2011-01-07,0,115,22,15,1,2,828.0
4498,2011-02-11,29318,198,29,96,5,1,1386.824722
4499,2011-01-01,41503,73,28,69,0,2,15.001594
4500,2011-01-04,0,126,16,69,0,8,604.8
4501,2011-02-25,0,69,9,68,0,1,427.25055
4502,2011-01-15,25905,63,21,12,0,1,302.4
4503,2011-01-07,0,116,18,86,0,1,835.2
4504,2011-01-30,40046,73,10,51,0,1,118.509791
4505,2011-01-29,58577,110,6,62,0,1,303.872752
4506,2011-01-13,70129,103,24,57,1,1,130.495798
4507,2011-02-02,91268,229,32,62,0,5,737.737825
4508,2011-02-14,12902,139,3,51,0,1,667.2
4509,2011-02-28,62053,134,3,89,0,5,614.03209
4510,2011-02-01,30389,73,34,66,0,4,278.932051
4511,2011-01-29,15585,65,22,24,0,1,67.618365
4512,2011-01-25,23091,96,28,90,5,5,460.8
4513,2011-01-28,22571,63,29,51,0,9,302.4
4514,2011-01-17,0,61,0,62,0,1,691.677138
4515,2011-02-04,0,82,14,56,3,1,393.6
4516,2011-02-20,73976,73,27,84,0,3,338.529369
4517,2011-02-17,30814,87,8,96,0,3,417.6
4518,2011-01-17,80681,74,31,12,0,1,355.2
4519,2011-02-07,60934,82,15,64,0,1,393.6
4520,2011-02-05,0,62,19,3,2,2,446.4
4521,2011-02-01,80797,64,21,47,0,9,300.940297
4522,2011-02-28,89410,74,11,50,0,1,95.997363
4523,2011-02-04,52728,127,34,34,1,1,609.6
4524,2011-01-15,43199,61,23,31,0,3,334.007478
4525,2011-01-13,43510,83,8,75,0,1,238.088581
4526,2011-01-21,28909,66,15,66,0,8,456.702735
4527,2011-02-23,0,122,15,47,0,9,650.52179
4528,2011-01-29,71176,91,3,62,2,1,278.072755
4529,2011-01-07,84429,123,11,2,0,6,115.07234
4530,2011-02-23,61613,61,6,20,1,9,40.562432
4531,2011-02-23,68370,80,0,45,0,1,244.158446
4532,2011-02-09,52389,72,29,8,1,9,345.6
4533,2011-01-18,64478,103,30,92,0,1,8.281829
4534,2011-02-01,59207,116,23,21,0,2,556.8
4535,2011-02-08,17162,96,15,29,0,1,460.8
4536,2011-02-19,0,101,1,83,4,1,960.115399
4537,2011-02-05,14973,115,2,75,0,2,828.0
4538,2011-02-15,56342,69,12,89,0,1,331.2
4539,2011-01-07,73054,106,34,36,1,2,419.365958
4540,2011-01-02,21586,106,6,5,0,1,1056.291709
4541,2011-01-13,0,117,11,63,0,5,842.4
4542,2011-01-12,24193,185,26,79,0,2,785.367947
4543,2011-01-19,84815,68,9,37,0,2,279.996658
4544,2011-01-15,18495,113,10,15,0,2,542.4
4545,2011-02-11,36554,70,6,62,1,2,433.38842
4546,2011-02-21,0,68,3,36,0,9,656.959783
4547,2011-01-10,99845,110,23,25,1,8,528.0
4548,2011-01-16,0,69,13,90,0,3,344.469652
4549,2011-01-21,10853,104,11,18,0,1,350.306385
4550,2011-02-08,23749,77,20,6,0,4,151.550875
4551,2011-02-19,0,69,18,71,2,2,331.2
4552,2011-02-25,0,88,29,19,0,1,422.4
4553,2011-02-09,92783,61,1,47,0,6,6.671268
4554,2011-01-12,83502,68,25,36,0,1,368.963633
4555,2011-02-14,83846,74,22,94,3,2,355.2
4556,2011-02-09,18606,110,12,45,1,1,568.844905
4557,2011-02-25,72191,68,19,48,0,2,209.387509
4558,2011-02-09,57733,66,24,66,0,5,393.528054
4559,2011-01-06,63688,99,28,93,0,6,475.2
4560,2011-01-03,55855,79,10,71,0,1,272.9955
4561,2011-01-28,60021,99,12,28,0,1,882.871945
4562,2011-02-21,0,73,17,44,0,7,496.474767
4563,2011-02-02,74300,122,23,38,0,2,354.55391
4564,2011-01-07,0,96,6,8,0,1,460.8
4565,2011-01-28,51747,71,8,71,0,2,340.8
4566,2011-01-07,28887,73,16,15,2,1,425.81795
4567,2011-02-08,0,189,24,93,0,6,1415.579302
4568,2011-01-28,0,68,0,93,3,5,546.420009
4569,2011-01-27,43540,70,29,60,0,1,117.585017
4570,2011-01-25,96961,64,24,99,0,2,81.377259
4571,2011-01-26,32799,104,7,27,0,3,499.2
4572,2011-02-27,0,101,12,38,0,1,1201.085226
4573,2011-02-27,72540,88,7,3,0,2,631.743039
4574,2011-01-14,35173,180,24,9,2,1,415.331869
4575,2011-02-01,65431,69,7,90,0,1,331.2
4576,2011-01-15,0,100,20,48,0,6,480.0
4577,2011-01-03,0,72,23,7,0,3,345.6
4578,2011-02-02,0,84,35,42,0,2,604.8
4579,2011-01-24,40672,121,28,99,0,3,580.8
4580,2011-02-03,52583,113,12,59,0,7,528.20086
4581,2011-02-01,64816,69,30,33,0,7,331.2
4582,2011-02-20,36685,74,15,25,0,5,355.2
4583,2011-01-31,0,136,20,98,3,6,979.2
4584,2011-01-13,77143,125,5,49,3,2,176.006384
4585,2011-02-23,60942,64,11,56,0,1,288.205261
4586,2011-01-05,0,61,12,77,0,2,366.604732
4587,2011-01-20,21514,62,0,59,0,2,257.248789
4588,2011-01-23,25927,103,6,20,0,1,674.973614
4589,2011-02-12,25965,65,23,27,0,1,329.206567
4590,2011-01-15,27688,92,8,86,0,9,572.352362
4591,2011-01-23,75490,97,33,20,0,7,43.084332
4592,2011-01-15,33871,136,2,23,0,2,933.624655
4593,2011-02-25,0,65,27,37,2,1,468.0
4594,2011-01-19,85470,109,23,31,0,6,523.2
4595,2011-02-28,97095,70,4,8,0,5,208.035411
4596,2011-02-13,73604,114,15,89,0,1,184.222768
4597,2011-01-29,0,112,13,33,0,1,1082.898726
4598,2011-01-11,40646,103,22,6,0,8,494.4
4599,2011-02-05,74454,71,25,29,0,3,340.8
4600,2011-02-12,18168,87,25,50,0,1,417.6
4601,2011-02-28,0,89,4,86,0,7,614.572672
4602,2011-01-27,0,66,4,6,2,2,316.8
4603,2011-01-26,43597,110,20,24,0,6,528.0
4604,2011-02-25,0,140,15,87,0,1,672.0
4605,2011-02-15,66825,69,11,47,0,2,70.031111
4606,2011-02-26,0,62,1,9,5,2,297.6
4607,2011-02-16,0,74,13,42,1,1,532.8
4608,2011-02-26,22448,126,20,32,0,2,604.8
4609,2011-01-17,42596,96,8,82,0,2,42.293622
4610,2011-01-20,0,70,3,35,0,5,646.785442
4611,2011-01-09,97868,70,5,22,1,3,267.786573
4612,2011-02-09,92921,112,35,49,0,1,109.28708
4613,2011-01-10,41372,64,21,32,0,1,307.2
4614,2011-01-27,26660,63,23,40,0,8,453.6
4615,2011-01-27,58851,79,11,33,1,2,494.187643
4616,2011-02-17,95697,107,29,29,0,9,178.006524
4617,2011-01-28,0,112,16,12,0,1,537.6
4618,2011-02-26,0,84,4,52,1,4,403.2
4619,2011-01-14,81741,64,10,94,0,8,186.448395
4620,2011-02-06,48295,63,25,96,0,8,290.301553
4621,2011-01-29,65538,72,24,86,0,3,261.341223
4622,2011-01-15,53997,69,26,3,0,3,345.158393
4623,2011-01-06,93272,95,3,54,0,1,281.110788
4624,2011-02-05,68899,74,6,60,0,1,66.103422
4625,2011-01-25,0,67,20,14,0,2,321.6
4626,2011-01-04,0,97,31,43,0,7,698.4
4627,2011-02-20,54950,103,25,75,0,7,480.578584
4628,2011-02-20,96306,95,12,17,1,6,185.355353
4629,2011-01-26,70342,96,3,99,1,1,685.907341
4630,2011-01-02,72421,65,8,23,0,1,312.0
4631,2011-02-06,0,132,5,88,3,1,950.4
4632,2011-01-21,77748,72,1,51,0,1,7.214579
4633,2011-01-02,19096,64,17,5,0,3,374.8996
4634,2011-02-18,73876,112,19,71,0,8,419.303041
4635,2011-01-15,0,237,1,29,0,5,1706.4
4636,2011-01-16,20742,100,17,52,0,2,455.851876
4637,2011-01-18,44804,114,15,13,0,1,778.350073
4638,2011-01-01,52993,64,16,86,0,2,304.699889
4639,2011-01-09,49185,61,11,92,0,8,126.950071
4640,2011-02-01,69240,194,16,29,0,2,744.769131
4641,2011-01-22,26877,131,5,2,0,1,628.8
4642,2011-01-29,82828,67,14,36,1,2,217.472776
4643,2011-02-11,99824,63,1,56,0,1,302.4
4644,2011-02-04,30352,89,21,13,0,2,146.110685
4645,2011-02-08,0,69,7,68,0,1,331.2
4646,2011-02-14,27681,83,13,62,0,9,398.4
4647,2011-02-10,85478,103,29,15,0,6,224.159416
4648,2011-01-03,94310,70,1,76,4,1,430.769347
4649,2011-02-01,13663,97,1,66,0,2,465.6
4650,2011-01-06,10384,151,5,72,0,5,914.434097
4651,2011-02-21,17272,93,30,58,0,1,446.4
4652,2011-01-18,64367,104,2,14,0,9,96.431061
4653,2011-01-29,47519,96,21,2,0,4,245.248248
4654,2011-01-16,26263,85,11,31,0,2,475.159732
4655,2011-01-17,0,63,30,34,0,2,556.85728
4656,2011-01-13,0,93,2,70,0,9,855.341729
4657,2011-02-18,77309,83,22,6,0,1,596.320943
4658,2011-01-10,50876,61,13,60,0,1,171.248196
4659,2011-02-03,20284,65,14,84,1,3,532.806637
4660,2011-01-03,22567,69,6,12,0,1,496.8
4661,2011-01-27,63546,64,1,53,0,1,131.813652
4662,2011-01-22,0,89,0,12,0,5,640.8
4663,2011-01-12,28137,65,23,2,0,1,312.0
4664,2011-02-28,22608,77,5,10,0,1,369.6
4665,2011-01-03,92296,69,4,65,0,1,331.2
4666,2011-02-10,0,69,9,72,5,3,331.2
4667,2011-02-26,12430,73,22,13,0,4,350.4
4668,2011-02-11,0,116,19,99,0,1,1301.796063
4669,2011-02-27,50470,71,1,87,0,8,377.498287
4670,2011-02-28,44788,61,6,48,0,2,386.031248
4671,2011-01-02,52423,119,2,80,1,2,571.2
4672,2011-01-04,29696,139,17,41,0,3,478.107847
4673,2011-02-25,26884,89,11,84,0,1,238.132215
4674,2011-01-09,64388,69,12,51,0,1,331.2
4675,2011-01-03,0,61,13,37,0,2,292.8
4676,2011-01-20,34498,83,30,72,0,7,398.4
4677,2011-02-09,73060,108,9,78,0,2,518.4
4678,2011-01-29,0,63,8,83,0,1,453.6
4679,2011-02-18,61337,105,35,46,0,9,2.54009
4680,2011-01-11,0,73,28,8,0,3,350.4
4681,2011-02-08,59496,88,22,64,0,1,189.144728
4682,2011-01-18,0,180,4,45,0,6,1474.267145
4683,2011-01-31,37813,78,4,26,1,5,39.781368
4684,2011-01-24,55907,104,23,64,0,2,499.2
4685,2011-02-05,80480,72,6,55,0,7,242.842607
4686,2011-01-20,72734,66,7,96,0,2,195.218968
4687,2011-01-27,0,72,27,60,0,1,22.326388
4688,2011-01-06,36548,76,10,95,0,1,547.2
4689,2011-01-28,62113,104,1,0,0,1,5.894778
4690,2011-01-30,0,67,7,75,0,5,747.458052
4691,2011-02-25,41252,109,25,31,0,1,514.059402
4692,2011-01-01,61139,76,4,16,0,4,364.8
4693,2011-02-05,26744,68,16,61,0,1,326.4
4694,2011-02-04,0,132,17,34,0,3,950.4
4695,2011-01-15,74640,66,0,44,0,2,375.514273
4696,2011-02-01,88126,64,27,71,1,1,151.973156
4697,2011-01-23,55005,70,31,39,1,1,336.0
4698,2011-01-23,33190,123,1,95,0,4,40.950769
4699,2011-02-12,0,71,4,64,4,2,839.593218
4700,2011-01-13,0,117,0,42,0,1,609.801279
4701,2011-01-31,0,97,31,34,2,9,669.399277
4702,2011-01-16,0,64,0,8,1,1,731.479725
4703,2011-02-08,25226,71,13,97,1,4,340.8
4704,2011-01-30,63398,83,29,46,0,1,292.206784
4705,2011-01-10,30092,108,33,90,0,9,192.265438
4706,2011-02-20,37876,69,13,15,0,1,300.056383
4707,2011-02-05,12201,84,14,63,0,4,604.8
4708,2011-01-19,37970,115,8,44,0,3,124.967415
4709,2011-02-22,28898,67,15,85,0,1,82.811346
4710,2011-01-17,23845,61,33,34,0,1,292.8
4711,2011-01-11,62810,187,14,22,1,1,32.874675
4712,2011-02-28,65773,89,24,35,4,1,245.308491
4713,2011-01-07,0,69,1,25,0,4,232.183503
4714,2011-02-09,0,86,29,45,0,2,568.746405
4715,2011-02-16,0,95,14,15,1,1,476.903351
4716,2011-02-26,41479,94,14,38,1,1,19.575683
4717,2011-02-23,72433,126,34,48,0,1,343.139611
4718,2011-02-12,74586,103,14,19,0,2,494.4
4719,2011-02-23,0,234,11,26,0,7,1135.141469
4720,2011-02-12,67326,69,17,32,0,2,331.2
4721,2011-02-08,25285,114,12,84,0,2,547.2
4722,2011-02-01,15871,89,20,19,0,4,427.2
4723,2011-01-28,38795,82,30,41,1,3,393.6
4724,2011-01-28,24882,72,13,20,0,8,345.6
4725,2011-01-04,33169,128,33,14,0,1,614.4
4726,2011-01-11,86305,62,1,99,0,5,80.73124
4727,2011-02-16,0,112,31,21,0,1,537.6
4728,2011-01-29,32210,103,16,97,0,1,494.4
4729,2011-01-20,69090,139,24,11,0,5,387.222556
4730,2011-01-27,0,63,23,88,0,3,523.337427
4731,2011-01-10,83308,73,3,81,1,7,419.471438
4732,2011-01-22,39034,68,10,55,0,2,466.446708
4733,2011-01-05,46750,82,20,74,1,3,672.026958
4734,2011-01-09,39786,91,2,91,1,9,365.835977
4735,2011-01-13,56788,108,22,34,5,7,579.710188
4736,2011-01-13,90156,114,16,6,0,1,388.346716
4737,2011-02-08,63867,89,21,4,1,3,432.361631
4738,2011-02-10,83413,118,0,1,0,1,134.801691
4739,2011-02-18,0,118,2,48,0,1,566.4
4740,2011-01-30,36116,171,27,33,2,2,158.126982
4741,2011-02-15,56342,69,12,89,0,1,331.2
4742,2011-01-23,55542,117,1,76,0,5,310.651386
4743,2011-02-02,58466,66,7,79,1,2,316.8
4744,2011-02-01,12964,65,2,37,0,4,362.774545
4745,2011-01-26,43412,94,33,38,0,1,509.722387
4746,2011-01-25,82611,74,23,87,1,1,355.2
4747,2011-02-11,28915,76,10,49,0,2,364.8
4748,2011-02-02,0,207,13,68,0,6,1490.4
4749,2011-02-09,0,70,19,27,0,1,336.0
4750,2011-01-10,91774,81,4,21,0,1,285.020982
4751,2011-01-05,27972,61,7,38,0,1,292.8
4752,2011-01-23,0,96,11,16,0,2,460.8
4753,2011-02-19,0,122,22,14,2,9,681.328474
4754,2011-01-18,77857,64,0,99,0,9,160.62847
4755,2011-01-21,0,62,18,34,0,3,114.097383
4756,2011-01-21,56502,74,15,78,0,1,355.2
4757,2011-02-09,95018,97,21,81,0,1,315.879728
4758,2011-01-10,23705,122,33,2,4,1,585.6
4759,2011-02-01,72333,70,10,20,0,1,177.224451
4760,2011-01-08,0,107,22,96,0,4,770.4
4761,2011-01-13,47622,80,15,13,0,7,305.544034
4762,2011-01-06,0,105,33,7,0,3,504.0
4763,2011-01-22,79632,106,7,72,1,3,344.048739
4764,2011-02-17,16154,62,31,45,1,2,91.355165
4765,2011-01-06,72211,73,12,1,0,1,44.912125
4766,2011-01-16,70892,76,21,32,0,5,206.709951
4767,2011-01-18,49367,63,16,40,0,9,69.230355
4768,2011-02-08,68086,194,34,6,0,3,218.342169
4769,2011-01-09,90353,70,3,64,0,7,72.617605
4770,2011-02-24,49558,115,1,73,0,1,552.0
4771,2011-02-08,93485,72,31,40,0,2,127.104785
4772,2011-02-18,10629,74,17,15,0,8,532.8
4773,2011-02-09,10237,72,31,97,0,1,253.637853
4774,2011-02-27,87517,112,1,28,1,1,802.278237
4775,2011-02-07,23241,70,11,14,0,9,504.0
4776,2011-01-23,60861,66,8,82,0,4,65.425125
4777,2011-02-28,21726,104,20,79,0,8,697.010998
4778,2011-01-18,36313,67,3,38,2,9,300.375887
4779,2011-01-17,29160,87,25,62,0,1,417.6
4780,2011-01-29,0,99,15,79,0,5,712.8
4781,2011-02-13,0,188,5,67,0,1,1621.560425
4782,2011-01-08,48139,63,9,41,0,9,329.494
4783,2011-01-30,0,76,28,55,5,3,38.792481
4784,2011-02-24,13688,84,25,2,0,8,403.2
4785,2011-01-20,0,73,16,77,0,9,525.6
4786,2011-02-03,27649,63,3,63,0,2,302.4
4787,2011-02-23,24191,80,11,32,0,1,103.750234
4788,2011-01-28,0,71,11,77,0,1,517.056582
4789,2011-02-11,58493,67,13,53,0,4,321.6
4790,2011-01-15,82477,90,1,69,0,1,432.0
4791,2011-02-19,88663,79,20,86,0,7,379.2
4792,2011-02-12,74057,109,27,24,0,1,523.2
4793,2011-01-12,0,63,2,82,2,8,302.4
4794,2011-02-09,52342,66,28,28,3,2,316.8
4795,2011-02-19,42012,63,13,84,0,1,40.754246
4796,2011-01-12,56021,69,20,38,0,2,279.51121
4797,2011-01-19,35124,137,18,46,0,2,986.4
4798,2011-01-11,0,62,4,49,1,1,439.001718
4799,2011-02-11,0,125,8,55,0,1,900.0
4800,2011-01-14,37202,93,30,86,0,1,322.528829
4801,2011-02-20,65985,71,3,47,5,4,42.43131
4802,2011-02-08,87771,74,8,9,4,2,355.2
4803,2011-01-16,63624,115,10,40,2,2,306.337632
4804,2011-01-16,80192,129,8,69,0,9,200.662297
4805,2011-02-04,35945,105,14,25,0,1,756.0
4806,2011-01-07,93004,63,31,2,0,2,205.957043
4807,2011-01-23,0,89,4,24,0,4,941.347502
4808,2011-02-13,71210,214,8,89,1,2,1027.2
4809,2011-01-04,99159,190,7,14,0,5,912.0
4810,2011-02-10,81491,72,21,24,0,3,61.715527
4811,2011-01-14,99875,108,12,37,0,2,114.972914
4812,2011-01-27,51705,139,26,79,0,1,545.291103
4813,2011-02-06,39837,201,11,63,0,2,381.306996
4814,2011-02-02,31421,81,5,95,0,2,388.8
4815,2011-01-15,81531,135,23,50,0,1,420.434259
4816,2011-01-12,25134,67,3,0,0,6,321.6
4817,2011-02-11,37386,97,1,4,0,3,465.6
4818,2011-02-22,0,66,16,35,4,1,316.8
4819,2011-01-21,99553,68,14,85,0,6,111.586995
4820,2011-02-18,0,161,19,71,0,9,1159.2
4821,2011-02-23,70705,69,31,61,2,6,272.024652
4822,2011-01-12,22724,69,21,39,0,1,9.424668
4823,2011-02-24,26320,111,3,92,0,9,603.819794
4824,2011-01-15,0,69,7,90,0,8,806.534801
4825,2011-01-31,0,70,24,10,0,1,425.266308
4826,2011-02-28,88218,99,9,25,0,2,50.32306
4827,2011-02-16,25180,70,21,44,0,9,235.895575
4828,2011-01-06,48091,108,30,66,0,9,132.041491
4829,2011-02-03,92539,100,1,55,0,1,25.713622
4830,2011-02-14,40658,61,24,79,1,1,38.379869
4831,2011-01-26,75453,112,6,90,0,1,163.9498
4832,2011-01-04,94003,64,14,39,0,1,307.2
4833,2011-02-14,31737,218,17,2,0,3,1046.4
4834,2011-01-31,0,70,24,10,0,1,425.266308
4835,2011-02-04,0,71,2,94,1,1,340.8
4836,2011-02-20,0,114,0,75,0,1,1343.619461
4837,2011-02-16,48885,190,31,90,0,9,1090.122048
4838,2011-02-12,0,79,14,22,0,2,379.2
4839,2011-01-11,86305,62,1,99,0,5,80.73124
4840,2011-01-21,28909,66,15,66,0,8,456.702735
4841,2011-02-15,0,123,35,38,1,3,1088.38378
4842,2011-02-11,26140,84,23,37,1,1,403.2
4843,2011-01-17,35095,73,25,56,0,2,525.6
4844,2011-01-14,31678,63,7,3,0,1,76.629988
4845,2011-02-12,28245,62,0,16,0,2,297.6
4846,2011-01-22,0,72,0,97,0,2,345.6
4847,2011-01-23,19168,106,12,54,1,2,508.8
4848,2011-02-20,22705,239,19,59,0,7,1294.700423
4849,2011-01-27,86481,65,9,69,0,2,189.971267
4850,2011-01-24,38008,68,12,40,4,2,321.789644
